Age,Gender,Country,Employment_Status,Annual_Income,Current_Savings,Retirement_Age_Goal,Risk_Tolerance,Contribution_Amount,Contribution_Frequency,Employer_Contribution,Total_Annual_Contribution,Years_Contributed,Investment_Type,Fund_Name,Annual_Return_Rate,Volatility,Fees_Percentage,Projected_Pension_Amount,Expected_Annual_Payout,Inflation_Adjusted_Payout,Years_of_Payout,Survivor_Benefits,Transaction_Amount,Transaction_Date,Suspicious_Flag,Anomaly_Score,Marital_Status,Number_of_Dependents,Education_Level,Health_Status,Life_Expectancy_Estimate,Home_Ownership_Status,Debt_Level,Monthly_Expenses,Savings_Rate,Investment_Experience_Level,Financial_Goals,Insurance_Coverage,Portfolio_Diversity_Score,Tax_Benefits_Eligibility,Government_Pension_Eligibility,Private_Pension_Eligibility,Pension_Type,Withdrawal_Strategy,Transaction_Channel,Geo_Location,Time_of_Transaction,Transaction_Pattern_Score,Previous_Fraud_Flag,Account_Age
27,Male,Canada,Part-time,115730,267235,62,Low,892,Annually,979,11015,26,Stocks,Jackson-Ryan,5.97,2.05,1.65,666828,49694,66661,15,Yes,1091,6/23/2022,No,0.15,Married,4,Master's,Average,78,Mortgage,109933,7530,0.28,Expert,Legacy Planning,Yes,0.86,No,Yes,No,Defined Benefit,Dynamic,Online,Hunterchester,13:46:52,0.03,No,19
49,Male,UK,Full-time,84700,360998,65,Low,1167,Annually,666,1653,16,ETF,"Mclaughlin, Lopez and Hunt",6.01,3.24,0.84,177640,49819,43543,29,No,704,3/21/2022,No,0.54,Widowed,3,Bachelor's,Poor,81,Rent,74521,9661,0.22,Intermediate,Travel,No,0.98,Yes,Yes,No,Defined Contribution,Fixed,Branch,Port Anneport,23:31:45,0.19,No,4
46,Other,Australia,Self-employed,112003,284127,60,Medium,670,Quarterly,840,16656,27,Bonds,Hernandez-Allen,6.79,3.59,0.88,656831,27587,58599,21,Yes,4029,12/11/2023,No,0.67,Widowed,4,Bachelor's,Poor,81,Rent,63554,7194,0.2,Expert,Home Purchase,No,0.91,No,Yes,No,Defined Contribution,Fixed,Online,Jamiefort,8:54:55,0.36,No,16
35,Male,Australia,Unemployed,68000,394701,61,Low,1321,Quarterly,378,10599,27,Bonds,Price-Robles,8.92,4.02,1.15,399113,42071,54457,17,Yes,6194,9/22/2024,No,0.78,Widowed,0,Master's,Good,86,Mortgage,8688,4286,0.23,Intermediate,Healthcare,No,0.14,Yes,Yes,Yes,Defined Contribution,Dynamic,Branch,East Mary,13:45:22,0.27,No,18
28,Male,Canada,Full-time,115187,279345,65,Low,901,Quarterly,464,12257,1,ETF,"Kelly, Gonzales and Wagner",6.88,3.79,1.07,496269,68720,8435,25,No,9377,4/2/2022,No,0.94,Widowed,4,PhD,Good,78,Own,127526,5255,0.11,Expert,Home Purchase,Yes,0.54,Yes,Yes,No,Defined Contribution,Bucket,Branch,Ronaldbury,17:06:02,0.9,No,27
25,Male,UK,Self-employed,57039,408556,68,Low,1215,Annually,502,7979,4,Bonds,"Oconnell, Welch and Lopez",3.8,4.98,1.33,583001,74432,18384,17,No,2526,10/23/2022,Yes,0.72,Married,2,PhD,Good,78,Mortgage,18984,4271,0.09,Beginner,Legacy Planning,Yes,0.36,Yes,Yes,No,Defined Contribution,Dynamic,Online,Johnsonmouth,14:11:11,0.8,No,14
32,Female,USA,Self-employed,128269,414009,64,High,1773,Quarterly,983,14978,38,Real Estate,White Group,9.14,2.75,0.66,432413,31279,34760,27,Yes,347,2/24/2025,No,0.75,Married,1,High School,Poor,75,Rent,172188,7201,0.23,Intermediate,Home Purchase,No,0.8,No,No,Yes,Defined Contribution,Bucket,Branch,Gainesberg,3:31:23,0.26,No,19
45,Other,Australia,Retired,83138,498893,66,Medium,931,Quarterly,225,3170,10,ETF,"Johnson, Brown and Griffin",11.69,0.53,1.51,545113,21970,45277,14,No,3531,4/17/2025,No,0.73,Widowed,3,High School,Poor,91,Own,41114,6906,0.24,Expert,Home Purchase,No,0.26,Yes,Yes,No,Defined Benefit,Fixed,ATM,Jacksonside,7:06:17,0.48,No,20
28,Other,Germany,Part-time,62493,221882,60,High,1784,Monthly,562,16337,2,Bonds,Lane-Jennings,3.16,0.74,0.44,841428,58236,65448,27,No,6669,12/8/2024,No,0.6,Divorced,0,PhD,Average,88,Own,125855,6722,0.27,Expert,Home Purchase,Yes,0.58,Yes,No,No,Defined Contribution,Fixed,ATM,Lake Joseph,0:40:15,0.82,No,1
60,Female,Canada,Part-time,45296,60567,61,High,1768,Monthly,287,18901,27,Real Estate,Jenkins Inc,7.09,1.37,0.4,905418,64687,17066,28,Yes,2699,2/11/2020,No,0.57,Divorced,1,Master's,Average,90,Mortgage,146129,2222,0.05,Intermediate,Healthcare,Yes,0.34,Yes,Yes,No,Defined Benefit,Bucket,Branch,West Edwardville,11:00:28,0.39,No,18
48,Male,UK,Self-employed,73171,396581,61,High,1508,Monthly,501,18002,3,Stocks,Nash-Guerrero,4.65,1.09,0.34,156503,74654,60434,19,Yes,3937,12/15/2024,No,0.44,Single,0,Master's,Poor,92,Own,88519,6388,0.14,Expert,Home Purchase,No,0.13,No,No,Yes,Defined Contribution,Bucket,Online,Jamieport,18:41:00,0.82,No,2
40,Male,Germany,Retired,66987,59226,69,High,304,Quarterly,563,16117,3,Stocks,"Smith, Mitchell and Burch",4.25,4.71,0.37,744234,60558,42622,28,No,171,11/13/2021,No,0.19,Married,2,PhD,Good,82,Mortgage,34344,1053,0.13,Beginner,Healthcare,No,0.63,No,Yes,Yes,Defined Contribution,Dynamic,Branch,Martinezfort,8:54:26,0.5,No,18
37,Male,Canada,Full-time,55180,304039,63,Medium,1680,Monthly,7,2057,19,Bonds,Zhang-Scott,6.49,2.92,0.32,546569,33724,57923,21,Yes,4040,7/4/2023,No,0.37,Widowed,1,Master's,Good,93,Own,55996,6920,0.15,Beginner,Travel,Yes,0.94,No,No,No,Defined Contribution,Fixed,ATM,North Vickie,7:11:59,0.16,No,15
53,Female,Germany,Part-time,34220,19295,62,High,1987,Quarterly,846,9409,39,ETF,"Brown, Thompson and Davies",7.53,1.29,0.66,911671,49949,51889,17,Yes,2208,5/3/2023,No,0.83,Married,1,Master's,Poor,86,Mortgage,94365,4113,0.08,Intermediate,Home Purchase,No,0.43,No,No,Yes,Defined Benefit,Dynamic,Online,East Meredith,19:38:17,0.19,No,12
35,Female,Canada,Self-employed,66329,306895,65,High,1577,Annually,479,16505,11,Mutual Fund,"Hensley, Hale and Morales",7.35,4.22,0.54,446698,59562,73210,21,Yes,1675,11/7/2024,No,0.45,Widowed,0,Master's,Average,94,Own,112717,6657,0.1,Intermediate,Travel,Yes,0.3,Yes,No,Yes,Defined Benefit,Dynamic,ATM,Jasonland,17:27:35,0.47,No,2
62,Female,Canada,Unemployed,44412,159202,64,Low,447,Quarterly,30,19151,29,Mutual Fund,"Mullins, Dixon and Richardson",3.46,0.98,1.44,808407,55845,15514,19,Yes,1819,6/18/2021,No,0.83,Single,3,PhD,Good,80,Mortgage,169209,8132,0.07,Intermediate,Legacy Planning,No,0.21,Yes,No,No,Defined Benefit,Dynamic,Branch,Tammyfurt,3:23:07,0.28,No,3
